DATE,OPEN,CLOSE,HIGH,LOW,VWAP,NO OF TRADES
2023-05-22,2010.0,2326.1,2347.0,1983.4,2212.95,779253
2023-05-23,2410.9,2633.7,2759.45,2400.0,2636.02,873248
2023-05-24,2709.0,2475.6,2750.0,2425.35,2554.26,834165
2023-05-25,2440.0,2537.45,2558.8,2386.65,2470.91,345309
2023-05-26,2565.0,2544.35,2599.95,2535.15,2559.29,170861
2023-05-29,2570.0,2534.05,2583.5,2523.0,2549.41,113984
2023-05-30,2529.3,2496.45,2554.15,2475.15,2522.15,80071
2023-05-31,2482.0,2493.35,2573.0,2428.0,2506.49,181970
2023-06-01,2499.9,2492.15,2560.0,2485.3,2507.49,72211
2023-06-02,2535.0,2445.05,2538.9,2425.0,2459.27,141696
2023-06-05,2463.2,2433.95,2514.0,2428.0,2465.5,124934
2023-06-06,2475.0,2433.65,2506.95,2425.9,2446.03,142108
2023-06-07,2453.0,2439.55,2466.95,2435.0,2449.14,85030
2023-06-08,2450.0,2429.15,2475.9,2369.05,2432.48,143560
2023-06-09,2447.95,2451.15,2458.9,2428.0,2446.22,70948
2023-06-12,2460.0,2484.8,2505.0,2432.6,2475.91,109217
2023-06-13,2499.0,2462.55,2505.0,2442.2,2477.69,84140
2023-06-14,2469.9,2457.15,2484.8,2452.35,2466.03,52469
2023-06-15,2469.0,2485.65,2527.0,2462.9,2497.56,128109
2023-06-16,2499.2,2509.6,2526.9,2487.4,2509.05,119702
2023-06-19,2504.0,2401.4,2521.6,2350.0,2414.19,240481
2023-06-20,2435.0,2414.8,2435.0,2390.0,2413.71,94144
2023-06-21,2426.7,2405.95,2440.0,2393.1,2403.11,97423
2023-06-22,2425.1,2397.25,2449.95,2360.0,2404.13,126915
2023-06-23,2392.3,2233.55,2392.3,2163.3,2245.65,538949
2023-06-26,2210.05,2295.6,2336.45,2173.05,2283.14,282882
2023-06-27,2328.95,2284.45,2343.85,2271.0,2305.44,119408
2023-06-28,2300.0,2402.0,2418.6,2293.85,2330.9,319100
2023-06-30,2437.95,2388.05,2437.95,2350.0,2390.92,175623
2023-07-03,2405.0,2385.5,2417.85,2373.2,2392.89,89985
2023-07-04,2397.0,2387.7,2414.0,2373.05,2395.02,79061
2023-07-05,2391.0,2399.15,2412.05,2374.0,2395.05,64720
2023-07-06,2399.15,2402.9,2427.6,2390.0,2406.35,72164
2023-07-07,2395.0,2379.6,2409.95,2368.1,2386.37,63030
2023-07-10,2392.8,2410.25,2462.7,2355.0,2411.32,133840
2023-07-11,2423.75,2422.9,2444.95,2388.0,2423.62,89046
2023-07-12,2429.9,2387.9,2432.0,2380.45,2400.74,62902
2023-07-13,2397.0,2362.05,2405.7,2355.55,2381.02,54521
2023-07-14,2375.0,2376.1,2385.0,2340.0,2363.27,59601
2023-07-17,2399.9,2408.55,2459.5,2391.3,2425.15,126827
2023-07-18,2415.0,2416.9,2510.0,2405.2,2446.49,218769
2023-07-19,2428.65,2423.75,2443.0,2416.9,2428.08,66734
2023-07-20,2428.95,2419.75,2433.9,2400.0,2419.72,69720
2023-07-21,2410.0,2416.3,2457.85,2395.3,2432.97,86825
2023-07-24,2430.0,2418.2,2439.4,2412.05,2424.7,44300
2023-07-25,2428.0,2466.65,2479.0,2416.0,2446.15,93641
2023-07-26,2472.45,2470.75,2506.0,2446.0,2479.6,123641
2023-07-27,2470.75,2428.4,2485.0,2415.0,2445.56,79442
2023-07-28,2437.0,2463.2,2481.65,2431.1,2461.29,83380
2023-07-31,2477.0,2492.2,2518.0,2467.0,2490.25,95349
2023-08-01,2504.85,2481.1,2514.0,2455.25,2480.87,66292
2023-08-02,2493.0,2473.55,2514.0,2451.0,2486.61,92290
2023-08-03,2469.9,2532.6,2550.0,2462.0,2516.19,164423
2023-08-04,2545.3,2541.8,2557.9,2502.0,2535.26,91387
2023-08-07,2550.95,2550.5,2569.0,2516.4,2545.71,104084
2023-08-08,2563.25,2474.55,2563.25,2461.3,2496.62,165124
2023-08-09,2488.35,2507.1,2516.9,2472.0,2500.07,137283
2023-08-10,2510.0,2552.4,2577.5,2510.0,2549.54,186434
2023-08-11,2550.05,2539.5,2568.15,2518.2,2552.42,153795
2023-08-14,2480.0,2456.0,2484.95,2400.05,2450.44,250812
2023-08-16,2450.0,2445.1,2465.0,2420.0,2450.99,130359
2023-08-17,2454.95,2479.7,2487.2,2442.05,2462.66,134500
2023-08-18,2477.5,2577.4,2665.95,2461.3,2562.98,344747
2023-08-21,2588.0,2639.75,2655.0,2580.5,2630.61,216694
2023-08-22,2668.85,2698.05,2721.0,2654.1,2696.4,216090
2023-08-23,2720.0,2530.3,2722.4,2488.85,2603.2,189702
2023-08-24,2580.0,2539.55,2613.0,2531.1,2574.82,157473
2023-08-25,2549.0,2495.75,2549.0,2486.0,2511.47,102176
2023-08-28,2550.0,2472.45,2582.0,2455.65,2499.94,147610
2023-08-29,2472.1,2506.45,2536.65,2445.0,2503.76,164344
2023-08-30,2517.0,2513.1,2543.0,2492.4,2525.87,116612
2023-08-31,2449.95,2419.25,2489.95,2383.75,2437.26,209189
2023-09-01,2381.0,2450.05,2465.55,2380.0,2441.84,169694
2023-09-04,2454.0,2470.6,2480.0,2450.05,2470.54,104932
2023-09-05,2482.0,2494.05,2501.4,2464.0,2488.19,124950
2023-09-06,2494.05,2496.5,2504.0,2471.0,2493.74,129014
2023-09-07,2498.0,2509.5,2520.0,2485.0,2506.0,65954
2023-09-08,2513.8,2519.3,2538.6,2506.1,2526.49,91658
2023-09-11,2565.0,2614.95,2630.25,2546.0,2581.13,181137
2023-09-12,2622.45,2535.7,2626.6,2530.0,2555.52,147400
2023-09-13,2545.7,2518.9,2566.95,2496.0,2528.52,64129
2023-09-14,2541.85,2519.8,2545.0,2506.05,2524.05,66834
2023-09-15,2519.8,2540.05,2558.0,2514.2,2539.2,59448
2023-09-18,2552.0,2502.45,2555.0,2491.0,2521.46,41768
2023-09-20,2502.4,2470.3,2533.65,2458.9,2489.13,53694
2023-09-21,2479.8,2479.25,2503.8,2461.0,2482.4,72931
2023-09-22,2489.95,2464.9,2498.0,2460.0,2474.07,44391
2023-09-25,2479.95,2482.1,2489.0,2424.0,2460.35,62473
2023-09-26,2491.0,2457.95,2499.0,2452.6,2474.46,35719
2023-09-27,2460.0,2483.3,2498.0,2445.1,2475.27,42234
2023-09-28,2489.95,2475.25,2511.0,2446.7,2478.59,75079
2023-09-29,2462.05,2413.9,2479.55,2405.05,2430.24,81407
2023-10-03,2418.0,2387.25,2424.9,2372.0,2395.35,70447
2023-10-04,2402.2,2464.95,2502.75,2392.25,2451.95,124922
2023-10-05,2477.95,2466.35,2486.5,2446.4,2464.12,64651
2023-10-06,2466.35,2478.1,2514.95,2466.05,2491.17,59609
2023-10-09,2440.0,2442.6,2459.7,2411.3,2435.04,59652
2023-10-10,2443.0,2498.3,2517.95,2443.0,2492.25,70051
2023-10-11,2533.9,2488.6,2538.0,2482.5,2512.68,56575
2023-10-12,2499.9,2506.35,2521.75,2490.65,2506.49,59299
2023-10-13,2488.9,2454.55,2495.0,2422.35,2446.51,97378
2023-10-16,2454.55,2429.35,2464.7,2421.85,2447.48,42165
2023-10-17,2459.95,2428.4,2462.0,2423.5,2441.19,39591
2023-10-18,2440.0,2406.35,2441.75,2401.05,2417.18,40653
2023-10-19,2400.0,2402.2,2414.7,2382.55,2399.0,67638
2023-10-20,2398.05,2393.75,2443.95,2382.05,2403.46,56041
2023-10-23,2397.8,2308.65,2412.35,2301.8,2339.84,81837
2023-10-25,2320.0,2257.0,2348.05,2235.3,2287.32,79580
2023-10-26,2249.0,2203.2,2249.0,2167.05,2202.63,128777
2023-10-27,2222.0,2261.7,2275.0,2212.0,2246.49,63625
2023-10-30,2260.05,2299.1,2305.0,2250.0,2286.43,53630
2023-10-31,2320.0,2294.65,2320.0,2276.0,2294.76,52388
2023-11-01,2299.0,2217.3,2312.25,2207.0,2253.36,79883
2023-11-02,2247.0,2215.3,2297.95,2204.2,2247.07,127122
2023-11-03,2215.3,2229.85,2279.0,2215.0,2244.27,82880
2023-11-06,2253.95,2246.0,2260.0,2233.0,2244.88,43846
2023-11-07,2257.0,2233.35,2260.0,2226.65,2240.69,33475
2023-11-08,2245.3,2259.95,2298.0,2235.0,2263.84,58323
2023-11-09,2269.0,2214.65,2272.6,2210.1,2231.38,63026
2023-11-10,2220.25,2205.1,2237.0,2198.5,2214.55,45963
2023-11-12,2219.7,2211.35,2226.0,2205.1,2215.9,9273
2023-11-13,2215.5,2213.65,2241.9,2195.55,2212.76,42537
2023-11-15,2240.0,2225.4,2250.0,2220.5,2228.39,33170
2023-11-16,2226.0,2205.9,2232.8,2196.1,2211.42,73917
2023-11-17,2205.9,2208.8,2237.95,2201.0,2216.32,43810
2023-11-20,2211.0,2149.85,2218.5,2142.0,2173.7,78926
2023-11-21,2160.0,2196.65,2232.55,2158.35,2207.07,90480
2023-11-22,2205.15,2172.65,2225.0,2153.5,2175.45,58112
2023-11-23,2190.0,2175.25,2190.0,2160.6,2176.85,38958
2023-11-24,2179.0,2225.45,2251.95,2160.9,2206.04,91515
2023-11-28,2301.0,2423.5,2512.4,2275.0,2416.12,429582
2023-11-29,2468.7,2396.6,2477.65,2390.0,2429.99,176974
2023-11-30,2400.05,2358.55,2409.0,2343.05,2361.69,128913
2023-12-01,2370.0,2362.7,2403.35,2354.1,2372.38,79854
2023-12-04,2549.95,2531.2,2595.0,2487.45,2529.8,226984
2023-12-05,2531.2,2959.35,2999.9,2531.2,2804.15,753504
2023-12-06,3080.0,2883.95,3154.55,2844.85,2987.51,780601
2023-12-07,2900.0,2887.15,2945.9,2853.05,2898.6,265235
2023-12-08,2902.7,2822.15,2927.0,2760.0,2839.19,289285
2023-12-11,2837.05,2855.8,2919.9,2811.05,2867.92,202891
2023-12-12,2869.1,2857.65,2895.95,2840.55,2864.57,91033
2023-12-13,2860.0,2875.05,2899.1,2805.0,2854.75,118936
2023-12-14,2900.95,2894.05,2932.95,2887.0,2908.68,140194
2023-12-15,2912.05,2991.8,3000.0,2893.9,2962.62,180486
2023-12-18,2993.95,2980.6,3027.75,2961.1,2993.07,100133
2023-12-19,2988.8,2941.25,2994.35,2915.0,2950.36,81742
2023-12-20,2946.0,2783.85,2968.0,2766.2,2870.07,171337
2023-12-21,2750.0,2799.75,2821.95,2725.0,2788.43,139231
2023-12-22,2815.95,2808.35,2847.6,2791.4,2819.62,76777
2023-12-26,2817.0,2865.45,2893.75,2800.1,2859.55,124764
2023-12-27,2880.7,2843.35,2894.8,2833.6,2854.23,96864
2023-12-28,2855.0,2809.9,2867.35,2800.1,2818.51,108070
2023-12-29,2823.9,2848.95,2863.3,2802.85,2838.38,65085
2024-01-01,2852.3,2917.2,2947.0,2842.05,2914.54,116403
