DATE,OPEN,CLOSE,HIGH,LOW,VWAP,NO OF TRADES
2023-10-06,593.4,594.25,598.95,592.2,595.04,187684
2023-10-09,588.0,585.1,589.0,581.55,584.53,235554
2023-10-10,587.0,591.65,595.0,585.75,590.68,250192
2023-10-11,596.9,588.35,597.0,587.6,591.39,209131
2023-10-12,590.8,586.05,593.0,585.0,588.33,171954
2023-10-13,577.75,576.15,581.3,574.8,577.07,465129
2023-10-16,576.0,575.65,578.75,571.5,576.02,485503
2023-10-17,577.7,576.45,579.95,575.3,577.46,269728
2023-10-18,577.75,572.65,579.25,569.35,573.26,270057
2023-10-19,569.8,571.2,574.0,567.0,570.92,239777
2023-10-20,569.9,563.1,570.0,562.1,565.15,282726
2023-10-23,563.1,552.95,566.0,551.0,559.35,263251
2023-10-25,558.6,556.2,560.8,553.6,557.67,262171
2023-10-26,551.45,547.0,552.9,543.2,547.27,317445
2023-10-27,550.0,561.15,562.5,550.0,558.49,210599
2023-10-30,563.0,565.2,566.7,556.5,562.29,191150
2023-10-31,567.0,565.55,569.5,563.15,566.37,236664
2023-11-01,566.25,566.4,569.65,563.85,567.16,240220
2023-11-02,571.1,572.1,575.45,567.6,571.18,212716
2023-11-03,576.0,578.15,579.5,573.45,577.35,205720
2023-11-06,582.0,574.35,582.5,573.25,575.7,330138
2023-11-07,574.8,579.75,581.2,572.6,577.36,466280
2023-11-08,581.9,580.3,582.6,579.0,580.52,391419
2023-11-09,581.0,578.35,581.85,576.5,578.27,167584
2023-11-10,577.8,579.5,581.0,575.4,578.7,119792
2023-11-12,584.75,581.3,584.75,580.1,581.85,53935
2023-11-13,581.0,581.35,582.5,575.2,578.71,177978
2023-11-15,587.25,584.7,588.0,582.6,584.93,221182
2023-11-16,584.7,584.65,588.0,582.9,585.4,179964
2023-11-17,574.5,563.05,574.5,562.1,566.16,682644
2023-11-20,564.0,563.75,566.8,560.6,564.68,264832
2023-11-21,566.0,561.5,566.65,561.0,563.11,223495
2023-11-22,562.95,558.95,564.5,555.15,559.0,247815
2023-11-23,561.75,559.95,563.5,558.3,560.72,198344
2023-11-24,561.95,560.35,562.45,559.25,560.63,155259
2023-11-28,563.6,564.45,565.2,561.1,563.42,186090
2023-11-29,568.0,568.6,569.0,565.1,567.58,206929
2023-11-30,569.75,564.75,570.2,563.65,566.22,314822
2023-12-01,567.0,571.75,574.2,566.55,571.83,189868
2023-12-04,588.0,594.7,596.0,584.55,590.28,386859
2023-12-05,595.05,608.25,611.3,595.05,606.37,432396
2023-12-06,614.0,608.45,614.0,604.55,609.96,273409
2023-12-07,610.0,611.7,612.55,605.0,609.73,248309
2023-12-08,610.0,614.15,616.8,605.35,610.67,294891
2023-12-11,615.0,614.25,619.9,613.1,615.99,285158
2023-12-12,617.0,612.4,617.95,610.8,613.75,282774
2023-12-13,614.45,619.85,620.5,611.65,616.9,279821
2023-12-14,626.0,623.65,627.75,622.4,624.37,336921
2023-12-15,628.0,648.25,650.0,619.85,638.08,433979
2023-12-18,646.65,648.5,655.65,642.4,650.04,347590
2023-12-19,648.5,655.4,659.6,640.25,652.88,384049
2023-12-20,658.7,636.45,660.4,633.95,647.91,419233
2023-12-21,632.15,643.75,648.95,627.5,639.02,347188
2023-12-22,644.75,636.75,649.4,635.15,642.31,307210
2023-12-26,638.85,638.05,641.3,635.65,639.19,298625
2023-12-27,640.75,648.55,649.45,639.0,645.18,295473
2023-12-28,650.25,651.4,653.3,646.5,650.46,301058
2023-12-29,645.5,642.05,649.6,639.55,642.49,332467
2024-01-01,642.2,641.35,646.9,638.0,643.93,257804
